Date,Hour (PST),Day of the Year,ETo (mm),Precip (mm),Sol Rad (W/sq.m),Vap Pres (kPa),Air Temp (C),Rel Hum (%),Dew Point (C),Wind Speed (m/s),Wind Dir (0-360),Soil Temp (C)
5/1/2019,100,121,0,0,0,1.1,8.9,95,8.2,0.8,254,17
5/1/2019,200,121,0,0,0,1,7.9,96,7.4,1,262,16.6
5/1/2019,300,121,0,0,0,1,7.7,96,7.1,1.3,266,16.1
5/1/2019,400,121,0,0,0,1,7.2,96,6.7,1,306,15.7
5/1/2019,500,121,0,0,0,0.9,7.7,88,5.9,1.1,328,15.4
5/1/2019,600,121,0,0,49,0.9,7.1,90,5.6,0.9,286,15
5/1/2019,700,121,0.1,0,225,1.1,10.3,86,8,1,212,14.7
5/1/2019,800,121,0.23,0,427,1.1,14.4,67,8.3,1.2,108,14.6
5/1/2019,900,121,0.4,0,636,0.9,17.7,46,6,2.5,2,14.7
5/1/2019,1000,121,0.56,0,810,0.8,19.6,34,3.4,3,14,15.1
5/1/2019,1100,121,0.66,0,930,0.7,21,29,2.4,2.6,5,15.7
5/1/2019,1200,121,0.72,0,993,0.7,22.3,26,1.8,2.5,358,16.5
5/1/2019,1300,121,0.74,0,993,0.6,23.6,21,0.1,2.4,11,17.2
5/1/2019,1400,121,0.73,0,942,0.5,24.4,18,-1.5,3,16,18
5/1/2019,1500,121,0.63,0,832,0.5,25.2,17,-1.8,2.5,337,18.5
5/1/2019,1600,121,0.51,0,678,0.5,25.5,16,-2.3,2.5,271,18.9
5/1/2019,1700,121,0.37,0,466,1,24.2,33,7,3.7,218,19.2
5/1/2019,1800,121,0.23,0,201,1,22,39,7.5,4,219,19.3
5/1/2019,1900,121,0.06,0,63,1.1,19,51,8.6,2.5,216,19.3
5/1/2019,2000,121,0,0,1,1.1,14.4,68,8.5,1.2,220,19.1
5/1/2019,2100,121,0,0,0,1.1,12.3,74,7.7,1.3,210,18.7
5/1/2019,2200,121,0,0,0,1.1,11.3,79,7.9,1.9,217,18.3
5/1/2019,2300,121,0,0,0,1.1,10.9,81,7.8,1.8,195,17.9
5/1/2019,2400,121,0,0,0,1,10.4,79,6.9,1.5,213,17.5
